X_coords,Y_coords,cellID,BET_jan-mar,BET_apr-jun,BET_jul-sep,BET_oct-dec
-63.5,-35.5,1025,0.025088817405223056,NA,NA,0.006944859839201011
-62.5,-35.5,1026,0.037474440730320455,NA,NA,0.006240619765849656
-61.5,-35.5,1027,0.04706511223304307,NA,NA,0.007335803616390792
-60.5,-35.5,1028,0.02297182371224554,NA,NA,0.008795977789727249
-29.5,-35.5,1045,0.0029257710142017016,3.8008895900597673e-4,7.683480669843746e-4,0.00222557832653176
-28.5,-35.5,1046,0.012714363311817436,0.004637880490573373,0.0024193445585714594,0.006283557023290257
-27.5,-35.5,1047,0.005791677279985052,0.002184615322848153,0.0018605784216405754,0.005114506329098117
-26.5,-35.5,1048,0.00593139903753853,0.002081697826997106,0.001668425684664195,0.005344348103012222
-25.5,-35.5,1049,0.009125347517908488,0.0022784494023420044,0.002115984363767198,0.004484212214605342
-24.5,-35.5,1050,0.007760520550463247,0.002314893311468601,0.0022302979000095786,0.004746863424199278
-23.5,-35.5,1051,0.007319617689292627,0.002204464019518858,0.0020942656128039956,0.005002651932860185
-22.5,-35.5,1052,0.00584780710692528,0.001866996163776392,0.001739171737588618,0.005447978343267669
-21.5,-35.5,1053,0.006039896556041804,0.0019453423523159918,0.0018142004631998187,0.005149609430610233
-20.5,-35.5,1054,0.005972959071612654,0.0019707850390075447,0.0017572130921265341,0.005467043678700512
80.5,-35.5,1154,0.013916374884416358,NA,NA,0.009361941244818385
81.5,-35.5,1155,0.014167200637902642,NA,NA,0.009188883550285496
82.5,-35.5,1156,0.01338007391291399,NA,NA,0.006998554303068843
83.5,-35.5,1157,0.014660075530564209,NA,NA,0.0059079005422292856
84.5,-35.5,1158,0.014660075530564209,NA,NA,0.005484430909538107
85.5,-35.5,1159,0.01442255348235907,NA,NA,0.004680213571701838
86.5,-35.5,1160,0.014852046376493547,NA,NA,0.005106911949252827
87.5,-35.5,1161,0.017018309013390506,NA,NA,0.0061604596916189905
88.5,-35.5,1162,0.01709974945543664,NA,NA,0.005782676682102353
89.5,-35.5,1163,0.01893754272921067,NA,NA,0.004632671398652766
-99.5,-34.5,1221,0.018251834902355882,NA,NA,0.009118911127036144
-98.5,-34.5,1222,0.01833244076115753,NA,NA,0.010403534893168438
-97.5,-34.5,1223,0.023853407918586055,NA,NA,0.011047474211700232
-96.5,-34.5,1224,0.014982731688571227,NA,NA,0.011464642020431253
-95.5,-34.5,1225,0.02009273182201179,NA,NA,0.011762445932517651
-94.5,-34.5,1226,0.01724274519519276,NA,NA,0.011582429895209417
-93.5,-34.5,1227,0.009721375989243936,NA,NA,0.0056318435141152114
-92.5,-34.5,1228,0.007588766100166377,NA,NA,0.005820690042673283
-91.5,-34.5,1229,0.008118201595369304,NA,NA,0.007262127027533417
-90.5,-34.5,1230,0.008437199387168927,NA,NA,0.00568230553225134
-79.5,-34.5,1241,0.008731438918685386,NA,NA,NA
-78.5,-34.5,1242,0.010012567069048416,NA,NA,NA
-77.5,-34.5,1243,0.008794622970206587,NA,NA,NA
-76.5,-34.5,1244,0.008422137454098713,NA,NA,NA
-75.5,-34.5,1245,0.006686538466468734,NA,NA,NA
-74.5,-34.5,1246,0.0038189999975258367,NA,NA,NA
-73.5,-34.5,1247,0.004341820336105411,NA,NA,NA
-72.5,-34.5,1248,0.004228502940024246,NA,NA,NA
-71.5,-34.5,1249,0.004257078047168676,NA,NA,NA
-70.5,-34.5,1250,0.004145413598386041,NA,NA,NA
-69.5,-34.5,1251,0.0062671966312317605,NA,NA,0.0031144214363268874
-68.5,-34.5,1252,0.022289119642078598,NA,NA,0.007429996706442758
-67.5,-34.5,1253,0.028343317107916304,NA,NA,0.00858084176798984
