X_coords,Y_coords,cellID,SKP_jan-mar,SKP_apr-jun,SKP_jul-sep,SKP_oct-dec
-25.5,-35.5,1049,0.03991066656326052,0.02011524775869269,0.01932263384846734,0.05095881013448553
-24.5,-35.5,1050,0.03690419721105855,0.020435347787100218,0.020073872527961292,0.05892590901096234
-23.5,-35.5,1051,0.03749428475723298,0.01760628164172932,0.018369863434816232,0.024711474060875316
-22.5,-35.5,1052,0.030705715068601702,0.016590594600429477,0.016191208205463405,0.023721978840563637
-21.5,-35.5,1053,0.032226662399738704,0.017560219544382787,0.017773251832595923,0.028629128469797108
-20.5,-35.5,1054,0.02956643673153823,0.015994087702409773,0.01659246322880398,0.02561723983837266
80.5,-35.5,1154,0.01364699002331043,NA,NA,0.011647556037167233
81.5,-35.5,1155,0.01391574170998248,NA,NA,0.011498629013744597
82.5,-35.5,1156,0.01676537231915758,NA,NA,0.011268570978618981
83.5,-35.5,1157,0.017456164758646666,NA,NA,0.010704883352466983
84.5,-35.5,1158,0.017475758209383793,NA,NA,0.0106024484727704
85.5,-35.5,1159,0.01630107083795627,NA,NA,0.010413241362957277
86.5,-35.5,1160,0.016598063273566957,NA,NA,0.01007136067014306
87.5,-35.5,1161,0.01755432666490037,NA,NA,0.010643223509469227
88.5,-35.5,1162,0.015046460841865268,NA,NA,0.011933295233112005
89.5,-35.5,1163,0.01650394682760724,NA,NA,0.010808487927967772
-99.5,-34.5,1221,0.030213151279899073,NA,NA,0.01807512734451143
-98.5,-34.5,1222,0.02861717352806213,NA,NA,0.017980802274373937
-97.5,-34.5,1223,0.026518437216156935,NA,NA,0.017766398334955927
-96.5,-34.5,1224,0.02500998614204631,NA,NA,0.017220637891037414
-95.5,-34.5,1225,0.024263858227116984,NA,NA,0.017244589584078207
-94.5,-34.5,1226,0.022917489973676215,NA,NA,0.018097978765121654
-93.5,-34.5,1227,0.016030852655577004,NA,NA,0.01191257885825876
-92.5,-34.5,1228,0.015380332598161304,NA,NA,0.013250308244768775
-91.5,-34.5,1229,0.014584799699258848,NA,NA,0.01195464277305984
-90.5,-34.5,1230,0.014685492690382471,NA,NA,0.011927970407378235
-79.5,-34.5,1241,0.019700548647256,NA,NA,NA
-78.5,-34.5,1242,0.019817045310465468,NA,NA,NA
-77.5,-34.5,1243,0.01787595821388255,NA,NA,NA
-76.5,-34.5,1244,0.016004159369869493,NA,NA,NA
-75.5,-34.5,1245,0.013234342499046706,NA,NA,NA
-74.5,-34.5,1246,0.01177705932271304,NA,NA,NA
-73.5,-34.5,1247,0.010900304576248139,NA,NA,NA
-72.5,-34.5,1248,0.01215505934639379,NA,NA,NA
-71.5,-34.5,1249,0.01250304603842082,NA,NA,NA
-70.5,-34.5,1250,0.011791869999919297,NA,NA,NA
-69.5,-34.5,1251,0.016206086855790093,NA,NA,0.01185960854293513
