X_coords,Y_coords,cellID,YFT_jan-mar,YFT_apr-jun,YFT_jul-sep,YFT_oct-dec
-98.5,-38.5,282,0.06803251297518072,NA,NA,0.020660905275415226
-97.5,-38.5,283,0.06431220183846809,NA,NA,0.020783078376088806
-96.5,-38.5,284,0.05291559824150166,NA,NA,0.01780784442019178
-95.5,-38.5,285,0.039983273418178575,NA,NA,0.01575050448734908
-94.5,-38.5,286,0.03332011449647234,NA,NA,0.014174351425355733
-93.5,-38.5,287,0.034074813698901425,NA,NA,0.01240758008370777
-92.5,-38.5,288,0.026473455906766537,NA,NA,0.010276945206108943
-91.5,-38.5,289,0.026610672447602998,NA,NA,0.009823139159864139
-90.5,-38.5,290,0.02360785930787205,NA,NA,0.008874831665209772
-79.5,-38.5,301,0.03458845283456524,NA,NA,NA
-78.5,-38.5,302,0.02874796698409589,NA,NA,NA
-77.5,-38.5,303,0.03069534054448604,NA,NA,NA
-76.5,-38.5,304,0.02498474146035181,NA,NA,NA
-75.5,-38.5,305,0.02464130352501967,NA,NA,NA
-74.5,-38.5,306,0.03765595549437647,NA,NA,NA
-73.5,-38.5,307,0.03500174912690048,NA,NA,NA
-72.5,-38.5,308,0.03271736755439001,NA,NA,NA
-71.5,-38.5,309,0.028382554703216656,NA,NA,NA
-70.5,-38.5,310,0.029796745406214502,NA,NA,NA
-69.5,-38.5,311,0.05150433673483741,NA,NA,0.018938401762269963
-68.5,-38.5,312,0.06587380755520593,NA,NA,0.02098305051929743
-67.5,-38.5,313,0.058417563420633194,NA,NA,0.021175427362551093
-66.5,-38.5,314,0.055366957504288064,NA,NA,0.02046640408396896
-65.5,-38.5,315,0.05577408635253445,NA,NA,0.02039488631794373
-64.5,-38.5,316,0.0443823867494716,NA,NA,0.018859492204041334
-63.5,-38.5,317,0.042854942297317095,NA,NA,0.014917482727097099
-62.5,-38.5,318,0.04769781287767932,NA,NA,0.01494464045390015
-61.5,-38.5,319,0.04185833184548091,NA,NA,0.01612254914580798
-60.5,-38.5,320,0.035605242467428806,NA,NA,0.017397581256399456
-29.5,-38.5,345,0.03721433896605823,0.013791536846505423,0.01295458382940314,0.021354954038577817
-28.5,-38.5,346,0.029551064632434274,0.008645118298668642,0.01033062865301074,0.019353818569949194
-27.5,-38.5,347,0.024950561529605748,0.012069611184611586,0.0105637030237331,0.021794877645969473
