X_coords,Y_coords,cellID,ALB_jan-mar,ALB_apr-jun,ALB_jul-sep,ALB_oct-dec
-90.5,-38.5,290,0.004008763202367954,NA,NA,0.002942206496834223
-79.5,-38.5,301,0.00454773335406034,NA,NA,NA
-78.5,-38.5,302,0.0037564055540844194,NA,NA,NA
-77.5,-38.5,303,0.00301409717850567,NA,NA,NA
-76.5,-38.5,304,0.0037472840037761322,NA,NA,NA
-75.5,-38.5,305,0.0045732290084664114,NA,NA,NA
-74.5,-38.5,306,0.002995397906348003,NA,NA,NA
-73.5,-38.5,307,0.004312032999511393,NA,NA,NA
-72.5,-38.5,308,0.005463490982984407,NA,NA,NA
-71.5,-38.5,309,0.003638778765061714,NA,NA,NA
-70.5,-38.5,310,0.003601160218691891,NA,NA,NA
-69.5,-38.5,311,0.0035378848176082175,NA,NA,0.0028116949789321554
-68.5,-38.5,312,0.0037748374699893904,NA,NA,0.003271901127958331
-67.5,-38.5,313,0.004874631895828787,NA,NA,0.003617672586811693
-66.5,-38.5,314,0.00495246790971357,NA,NA,0.0034038369935680624
-65.5,-38.5,315,0.0053227099969248085,NA,NA,0.0034082333657778313
-64.5,-38.5,316,0.0049908482139436935,NA,NA,0.0034400077373242677
-63.5,-38.5,317,0.005257929181305769,NA,NA,0.003592736810332975
-62.5,-38.5,318,0.00549249100281181,NA,NA,0.003546843801368144
-61.5,-38.5,319,0.006184899919273576,NA,NA,0.0036392704523052558
-60.5,-38.5,320,0.005659608525125083,NA,NA,0.0035793809314582804
-29.5,-38.5,345,0.006742604340827743,0.003944516102554358,0.003326276470149042,0.0025598182288845005
-28.5,-38.5,346,0.007560431522223448,0.003705454181532747,0.002397837177063978,0.0046252202174048036
-27.5,-38.5,347,0.007727342502414078,0.0035547842208329752,0.002008712751323283,0.0032897069215925014
-26.5,-38.5,348,0.007457756984888206,0.002830427894109817,0.0022805274666856147,0.0033725288428300016
-25.5,-38.5,349,0.01098718571819045,0.0036531430657550067,0.003009016152850789,0.004180403106582101
