"","Comp.1","Comp.2"
"121",-0.129891547994083,-0.0182990507256037
"122",-0.129589353940417,-0.0197906478748617
"123",-0.130047413997091,-0.0221718543197764
"124",-0.139896358901477,-0.0220472307912877
"125",-0.142798338058567,-0.024149708787137
"126",-0.141376484529885,-0.0267852423136294
"127",-0.149998496598792,-0.0307297117205769
"128",-0.150060729665696,-0.0297694267419795
"129",-0.148760635224606,-0.0293643409835925
"130",-0.14308679272966,-0.0166764772684208
"131",-0.141701725012566,-0.0214843838708338
"132",-0.132720728766044,-0.0221545939273274
"133",-0.137412002580861,-0.0266532874473091
"134",-0.138466668668707,-0.0258247114723465
"135",-0.140330535544951,-0.0227573182092211
"136",-0.218874031390503,-0.0482358794727097
"137",-0.19501720327746,-0.0378588526431932
"138",-0.134253439600474,-0.0243055421738739
"139",-0.134337733533375,-0.0224009834396073
"140",-0.138904302798621,-0.0253096905674613
"141",-0.139957856447148,-0.0251225883546498
"142",-0.144512269715713,-0.0283764613522103
"143",-0.152114336254726,-0.0315783146674953
"144",-0.161164284498403,-0.0356550895879649
"145",-0.155874074984363,-0.0335229777794211
"146",-0.155325921666147,-0.0342326524432003
"147",-0.154184673664087,-0.0338767028106744
"148",-0.193064819756926,-0.0254291369853249
"149",-0.136888175304349,-0.022639519502052
"150",-0.166367002522881,-0.0360569552786296
"151",-0.141719157907751,-0.0261947473619541
"152",-0.162420940190426,-0.0297072556239175
"153",-0.193170875781087,-0.0354387762937068
"154",-0.199510992471532,-0.0363629905727205
"155",-0.142458264119875,-0.0297011536110396
"156",-0.142867537289324,-0.0287739853466033
"157",-0.144679231549668,-0.0283975660054957
"158",-0.147675272512663,-0.0306482905686304
"159",-0.149284540101556,-0.0323071531714142
"160",-0.147722726338295,-0.0320537085068744
"161",-0.146920884916936,-0.0318141927080081
"162",-0.150754178016023,-0.0334241530335495
"163",-0.145733425010564,-0.0309586012287712
"164",-0.149264723549671,-0.0329278477323208
"165",-0.211614941503387,-0.0397147824285816
"166",-0.201646365197323,-0.0431226136716661
"167",-0.212483107527497,-0.0517584988860831
"168",-0.163037737984282,-0.0349846470658098
"169",-0.197295908541075,-0.0411825217258811
"170",-0.244211350758452,-0.0569361712072066
"171",-0.27926994786751,-0.067483260742094
"172",-0.158947514502095,-0.0339925442469052
"173",-0.167912248979158,-0.0372378471298506
"174",-0.16456840653915,-0.0353319677442516
"175",-0.155468781622034,-0.0333860275637859
"176",-0.15612074556271,-0.034233937455242
"177",-0.158115307509423,-0.0364039494761183
"178",-0.15953202517016,-0.0365073507809883
"179",-0.159386529366719,-0.0362702522292832
"180",-0.151232616360528,-0.0338561106819179
"181",-0.167861769204761,-0.0413092970819087
"182",-0.16737254885475,-0.0386990436786874
"183",-0.182574240986972,-0.0390084524842734
"184",-0.219842747636961,-0.0492802743820705
"185",-0.166216428284858,-0.0210756006841226
"186",-0.234550726453935,-0.0459499500279174
"187",-0.289339804124702,-0.0661929619586905
"188",-0.251219969372089,-0.0604327714016186
"189",-0.216533018069064,-0.0515897153298457
"190",-0.173255287949598,-0.0405977066961836
"191",-0.289090005706548,-0.0768406867955264
"192",-0.244859357044707,-0.0607761359548413
"193",-0.254669277486342,-0.0646576685001914
"194",-0.192421748615833,-0.0444629079447936
"195",-0.193894619041992,-0.044596373705408
"196",-0.215664594391667,-0.0490144034451147
"197",-0.18886946542056,-0.0433584149099722
"198",-0.172000386735515,-0.0375332453707214
"199",-0.162318914415581,-0.0327516472808349
"200",-0.177055034440606,-0.0355672824946532
"201",-0.180631491775517,-0.0281090988986081
"202",-0.188428052641729,-0.0398328592097077
"203",-0.207687181387569,-0.0468588434651213
"204",-0.217116173370342,-0.0526816231959471
"205",-0.189367380403607,-0.0450546552468662
"206",-0.199050648240033,-0.0488341142653672
