Sc_name,C_name,Code,Taxo_group,Tribe,Genera,Stock_name,Ocean,Ocean_region,Country,Local_area,Area,Lat,Lon,Period_study,Startyear_study,Finalyear_study,Total_size,Sex,Lmax,Wmax,Growth_size,Linf,k,to,Growth_method,Tmax,Tmax_Taylor,Maturity_size,Lm,Lm50,Tm,Tm50,Fecundity_methods,Fecundity_size,Fmeanbatch,Oocytes_gram,Fecundity_equation,Fecundity_slope,Fecundity_Lm50,Spawning_freq,Spawning_season,Spawning_duration,Size_eggs,WL_size,WL_a,WL_b,WL_units,Source,Source_label,Source_format
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,St. Lucia,St. Lucia,Northwest Atlantic Ocean (St. Lucia),13.4,-60.3,1983,1983,1983,NA,B,152.5,NA,NA,159,0.37,NA,Size-frequency,NA,8.108108108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murray1987,402,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,St. Lucia,St. Lucia,Northwest Atlantic Ocean (St. Lucia),13.4,-60.3,1990,1990,1990,406,B,132.7,NA,406,156.6,0.33,NA,Size-frequency,NA,9.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murray1996,403,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,St. Lucia,St. Lucia,Northwest Atlantic Ocean (St. Lucia),13.4,-60.3,1989,1989,1989,447,B,137.5,NA,447,161,0.368,NA,Size-frequency,NA,8.152173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murray1996,403,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,St. Lucia,St. Lucia,Northwest Atlantic Ocean (St. Lucia),13.4,-60.3,1982,1982,1982,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murray1996,403,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,St. Lucia,St. Lucia,Northwest Atlantic Ocean (St. Lucia),13.4,-60.3,1983,1983,1983,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murray1996,403,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,St. Lucia,St. Lucia,Northwest Atlantic Ocean (St. Lucia),13.4,-60.3,1988,1988,1988,527,B,152.5,NA,527,158.5,0.31,NA,Size-frequency,NA,9.677419355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murray1996,403,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Mediterranean stock,Atlantic,Mediterranean Sea,Italy,"Straits of Messina, Sicily",Mediterranean Sea (Italy),38,-15,2004,2004,2004,1,BM,140.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Romeo2005,656,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northeast Atlantic stock,Atlantic,Northeast,Spain,"Hierro Island, Canary Islands","Northeast Atlantic Ocean (Canary Islands, Spain)",28,-16,1988-1992,1988,1992,417,B,179,40,NA,NA,NA,NA,Size-frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,0.02749,2.72252,W in g and FL in cm,Santana1993,506,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Central Indian stock,Indian,Central,Maldives,Maldives,Central Indian Ocean (Maldives),2,73.3,1986-1987,1986,1987,155,B,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anderson1987,15,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Indian stock,Indian,Western,Somalia,Somalia,Western Indian Ocean (Somalia),4.2,-49.3,NA,NA,NA,NA,B,238.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sommer1996,547,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Western Indian stock,Indian,Western,Tanzania,Zanzibar,Western Indian Ocean (Tanzania),6.11,-39.1,1951-1960,1951,1960,54,B,195.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,5.37E-06,3.232,W in lbs and L in cm,Williams1964,619,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,NA,Pacific,Eastern central,Mexico,Cabo San Lucas,"Eastern central Pacific Ocean (Cabo San Lucas, Mexico)",23.2,-109.3,NA,NA,NA,NA,B,228.6,83.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IGFA2011,267,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Southwest Pacific stock,Pacific,Northeast,Line Islands,Line Islands,Northeast Pacific Ocean (Line Islands),-2,-155,1950-1956,1950,1956,183,B,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unreliable fecundity estimates,NA,NA,NA,NA,NA,NA,NA,"Mar,Nov-Dec",3,NA,183,8.11E-05,3.50583,W in lbs and L in cm,Iversen1957,279,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Hawaiian stock,Pacific,Northeast,USA,"Honolulu Island, Hawaii","Northeast Pacific Ocean (Honolulu, Hawaii)",21.1,-157.3,1988-1989,1988,1989,1161,BB,173.9,43.2,NA,NA,NA,NA,Size-frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All year [peak: Apr-May],12,NA,1161,1.42E-07,3.3034,W in kg and FL in cm,Uchiyama2006,585,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Hawaiian stock,Pacific,Northeast,USA,"Honolulu Island, Hawaii","Northeast Pacific Ocean (Honolulu, Hawaii)",21.1,-157.3,1988-1989,1988,1989,112,FF,157.5,21.4,NA,NA,NA,NA,Size-frequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All year [peak: Apr-May],12,NA,NA,NA,NA,NA,Uchiyama2006,585,pdf
